Date,Open,High,Low,Close,Volume,Market Cap,MA(20),MA(50),MA(200),RSI(14)(SMA)
May-16-2021,46408.69,46408.69,42289.75392,43590.92217,1.14E+11,8.28E+11,53966.22274,55976.758,39405.11953,26.06199186
May-17-2021,43532.31305,45697.75,42370.44485,43019.7743,97378342015,8.26E+11,53399.35415,55724.95063,39552.26501,29.49447664
May-18-2021,42853.96457,43499.88979,31500.00338,36974.61474,1.45E+11,7.31E+11,52552.11965,55319.25973,39668.71167,12.53194883
May-19-2021,36860.23211,42326.97,35183.74418,40389.77811,1.89E+11,7.44E+11,51922.56484,54960.35442,39801.02138,22.93742497
May-20-2021,40480.23,42023.62,33610.37,37242.9427,1.12E+11,7.31E+11,50945.62654,54539.24635,39917.97628,18.62638655
May-21-2021,37222.41634,38706.64,35460.72262,37555,1.14E+11,7.01E+11,49981.88755,54123.54802,40037.26997,15.84223098
May-22-2021,37499.78,38198.16,31282.72037,34834.68224,86352787200,6.55E+11,48947.16956,53650.43732,40141.0582,14.80086926
May-23-2021,34794.26833,39670.04,34500.65773,38619.3971,1.09E+11,6.91E+11,48061.83568,53287.30515,40262.88126,25.16555206
May-24-2021,38695.5686,39718.89322,36544.91425,38165.78818,87992997205,7.12E+11,47339.75951,52894.17962,40375.35521,22.74257434
May-25-2021,38318.9412,40709.59481,37953.43432,39184.76165,75075011442,7.34E+11,46475.30245,52510.00359,40492.95575,30.39829615
May-26-2021,39228.17715,40249.96678,37208.09,38479.69228,71587942585,7.26E+11,45617.93113,52125.42425,40610.65579,30.52726075
May-27-2021,38453.42613,38760.06116,34780.97,35670.7,70858555178,6.85E+11,44586.08113,51725.36991,40711.01211,27.27618185
